hype-para-1,hype-para-2,hype-para-3,hype-para-4,hype-para-5,hype-para-6,score,source,score-scaled
1.0046047832353329,0.09592319189165718,1.042066506599378,0.6993174511967657,0.03159596607364161,1.1085824330123497,3.5023242262187066,week-x,10.0
0.03166985475843024,0.2071042810242437,0.040617047750152645,0.029068390619800752,0.031970664863014135,0.9798626008880847,2.739695256519325,week-x,7.822506083273861
0.038479,0.518839,0.311248,0.237261,0.417124,0.684376,1.415182353706698,week-3,4.040694870887506
0.057895541971385245,0.49167221863901367,0.24742222374867484,0.21811843639837636,0.42042832954601583,0.7309698428701273,1.3649683044991994,file,3.897321368138697
0.0,0.5,0.214286,0.214286,0.428572,0.714286,1.181422704250112,week-1,3.373253382442088
0.067812,0.504863,0.287394,0.230127,0.473182,0.728104,1.1241859989248546,week-8,3.209828463364698
0.060606,0.484848,0.242424,0.181818,0.484848,0.727273,0.9769171261966855,week-2,2.7893394874278004
0.056006,0.25269,0.914472,0.121294,0.362425,1.007224,0.9161953953665816,week-7,2.615963960469058
0.049863,0.526174,0.301564,0.217309,0.491237,0.791235,0.8608279363272374,week-9,2.457876200846866
0.8816467367680777,0.20445018835916196,0.41447435851921566,0.4203846784242615,0.26491501481740265,0.7306601868760868,0.6751416308956351,file,1.9276959735522645
0.14864702139126218,0.03394336343938997,0.7288056495692345,0.3160664556651587,0.021769382750669197,0.516917757345384,0.6115255284647864,file,1.7460563013751056
0.2726238220336933,0.3244953623087271,0.8971088103082926,0.8329511521103058,0.1540626853924547,0.7958636234722036,0.6044326958745716,file,1.7258045138989
0.5430025769847714,0.9246939036961066,0.3415674591580987,0.6464858491139559,0.7184403268342174,0.343132663729359,0.5627530668655433,file,1.6067988870154408
0.06661051056630118,0.5280450659529847,0.8160951953117404,0.9610171372277223,0.08650933371690395,0.7777882160330215,0.5164572186199785,file,1.4746128149807902
0.107718,0.586286,0.175377,0.303162,0.560604,0.684376,0.4790359561505474,week-4,1.3677658754847486
0.1759775366488313,0.6244164970552419,0.295541983522259,0.4695527590211096,0.09776977047772617,0.7281410813045498,0.4753955163956208,file,1.3573715215649318
0.090408,0.599655,0.299291,0.287006,0.599215,0.826037,0.33553729563585927,week-6,0.9580417858632209
0.41762629271823204,0.06409998138921869,0.2456687739007659,0.5590407960737909,0.19153138403844328,0.2546409230877973,0.2748925084715891,file,0.7848859520592629
0.6302176411815951,0.8380968963061266,0.6800130516496496,0.7318950900926644,0.5267367145175407,0.3484292133580069,0.27304680126759867,file,0.7796160024921347
0.9424508393797228,0.3774396214241422,0.4861223262441836,0.22879108306138052,0.08263174710408516,0.7119575508609557,0.26840031693744637,file,0.766349143029586
0.170167,0.032372,0.330954,0.272601,0.031284,1.076438,0.2237511524097176,week-10,0.6388647593923397
0.7226152153368091,0.011812836708676278,0.06364591290841193,0.16517310603711322,0.07924414600207474,0.3599516573745739,0.20630969795359433,file,0.5890651025657243
0.6868525698557914,0.041017207781653076,0.007573010669658098,0.2850089958322135,0.6915684836560828,0.6555428970136261,0.10050661080108167,file,0.28697117773585995
0.4768231286900887,0.3409419502762441,0.014335232417323152,0.8801395630913645,0.9986546964586872,0.0796640185732378,0.0954111589101041,file,0.2724224050870213
0.19525188113467162,0.07922665059137424,0.5545804616685562,0.17056681968240583,0.014944176429292355,0.10703171010323376,0.09264495494793601,file,0.26452421010707045
0.9076680555181987,0.012365227685905993,0.8947940887484168,0.8983643920873876,0.016557163925142795,1.1599954269050192,0.08655366129603018,week-x,0.2471320634682588
0.7649191728046694,0.25588291701198074,0.6090842238764527,0.21807904189508076,0.3229427691734139,0.09579365511638072,0.08374657232015563,file,0.23911713168421542
0.528497327736147,0.45742435534127646,0.3600956902472011,0.36204550639420896,0.8168909784453008,0.6374763663139539,0.07351630421016164,file,0.2099071915153147
